tweet,likes,retweet_count,user_screen_name,user_description,user_followers_count
#Trump https://t.co/Y9p5BZEHuT,1.0,1.0,Cheryl84037124,,49.0
"@cnnbrk #Trump owes #RicardoAguirre $730,000 to pay for the mass murder of his family. #TrumpLiedPeopleDied @FauciFan",3.0,2.0,MoClarker,Media Maven/Scientist/Fan O Fauci,101.0
#Democrats have spent more #tax #payer #paid #time &amp; #money on #chasing &amp; #attacking #TRUMP #not #doing #their #jobs #serving the #public as #elected #USA #NO GOOD REASON'S NOT TO #ECONOMICALLY #BAIL #PEOPLE OUT &amp; #PROTECT THEM TOO AS YOU TOOK #OATH TOO. #USA https://t.co/bRMhvloyKt,0.0,0.0,Webinfotech,"Christian Veteran - My Oath to my Country, Flag, and Constitution never discharged.🇺🇸♠️🗽⚖️",275.0
"When you know you can put people in their graves and get away with it, you go to #Trump  rallies, mask-less. Like canned sardines.

#COVID19 #SuperSpreader #TrumpRally
#TrumpRallyDesMoines #pandemic
#TrumpCovid19 https://t.co/yO7ZP9HHFo",0.0,0.0,andThisAndThat,"If you can't feed 100 people then feed just one.      

#SaveTheEarth #ClimateChange #ClimateAction
🇱🇷⚖🗽🌏
#Resist #VoteBlue",5974.0
"#Trump: Nobody likes to tell you this, but some of the farmers were doing better the way I was doing it than they were by working their asses off.

And that check? It's totally in the mail, right Don?",1.0,1.0,snarke,"Will mock for food! Freelance writer, blogger, commentator. Civics nerd. She/Her",1185.0
@tedcruz @cc125 #Trump2020 #BLM #obama #VoteRed #BidenHarris2020 #Blacklivesmatter #mikepence #Debates2020 #KamalaHarris #KamalaHarrisVP #biden #riots #hunterbidden #AOC #Trump #IlhanOmar #gavinnewsom #tedwheeler #GretchenWhitmer &gt;&gt; This is only the begining its going to get worse! https://t.co/jcccPhWtgY,1.0,0.0,InfamousOne13,"""The company you keep can have a major impact on your life."" 
 - Semper Fi -",361.0
"@MarcInPhoenix @CIAspygirl #Trump
#Covid19
#TrumpLiesAmericansDie

Immunologist Florian Kramme, “#herdimmunity through natural infections is not a strategy, but an indication for the government’s malfunction to control a break out and to pay for this with lost lives.” 

https://t.co/ddEFm2Lqvj",1.0,1.0,william7424,"Retired International Banker(Don't hold this against me, I cleaned up messes LOL), Avid GeoPolitical and National Political observer",1776.0
"@RudyGiuliani @Twitter @PressSec You right @RudyGiuliani Censorship should be Condemned 
Cc Trump and the GOP

Not the American way.

Now let's redo Trump's Impeachment this time without the CENSORSHIP...
#AmericaFirst #BidenCares #DonaldTrump #BidenWillCrushCovid #BidenHarris2020ToSaveAmerica https://t.co/MrOa2Cgsd0",0.0,0.0,Amambo12Carlos,"We are part of a Symbiotic relationship with someone wich disguises as a terrestrial so as not to ALARM us. 
THE KINGDOM OF GOD IS an advanced CIVILIZATION...",2002.0
"@realDonaldTrump just quoted China’s Xu, Russia’s Putin and North Korea’s Kim as leaders who are 100%
No mention of leaders of Allied countries, this is the president of the USA? @CNN @andersoncooper 
#trump #TrumpIsUnfitForOffice",1.0,0.0,Sainter_Boys,Love the Skobbers and the Sainters.,617.0
"Comments on this? ""Do Democrats Understand how Ruthless China is?"" https://t.co/QevK00yhs3 #China #HunterBiden #JoeBiden #BidenHarris #BidenHarris2020 #TrumpPence2020 #Trump #realDonaldTrump #WTO #coronavirus #trade https://t.co/Wjm1hyTFNZ",0.0,0.0,ubaldireports,Just Facts... No Fiction on domestic and global political issues.,83.0
"SHAME on @NikkiHaley for her ridiculous ad for @LindseyGrahamSC -- saying he's fighting for others.  Lady G is ONLY fighting to retain power -- and he is SPINELESS when it comes to controlling #Trump. 

IT IS TIME FOR LINDESY TO GO!!! #SC #SouthCarolina #VoteJaimeHarrisonSC",2.0,0.0,The_Dickinson,"The Emmett Lee Dickinson Museum in Washerst, PA. Dedicated to the life & poetry of Emmett Lee Dickinson (Emily's 3rd Cousin, twice removed -- at her request)",625.0
@karatblood @KazePlays_JC Grab @realDonaldTrump by the balls &amp; chuck the bastard out the door onto #PennsylvaniaAvenue &amp; form a line &amp; everybody gets to kick #DonaldTrump in the nuts! Please note 1 kick per person only! #BidenHarrisToSaveAmerica #VoteBlueToSaveOurDemocracy,2.0,0.0,bayleewashere,"when the going gets tough, the weird turn pro. My tweets are mine. she/her #SWATT #LGBTQ #BlackLivesMatter #BlueWave2020 🌊#ProudDemocrat #ProudTransWomen",1952.0
"#Trump 

Le Pdt @realDonaldTrump: 
""Nous ne sommes pas venus d'aussi loin, avons surmonté tout cela et nous nous sommes battus si durement, pour rendre notre pays au marais dépravé de Washington!""
#TrumpRallyDesMoines https://t.co/S3pLbcWJgS",8.0,6.0,kleensamsonite,"🇮🇱🇺🇸🇨🇿 God Before!! Pro-TRUMP-POUTINE-Bolsanaro-ISRAËL- Anti-UE  
Blocked  by Sellin, Henneton,Clemenceau, Araud, Faiche,Corbe,'Braana ,Haim,...😂",3847.0
Ice Cube is teaming up to work with President Trump in developing The Platinum Plan. #2020election #AfricanAmericans #BlackAmerican #DiamondandSilk #DonaldTrump #featuredonWJLive #politics #race #TWJReports #USnews https://t.co/XFkzWFMbK0,14.0,6.0,conserv_tribune,"🇺🇸Commentary by The Western Journal 
Editor-in-Chief - @georgeupper
Deputy Managing Editor, Assignment - @josh_manning
Read more at @westjournalism",74657.0
"@maries_trella @CarmenAColeman @hugoventura @marvinicio @MicaelaTacconi Otro jonrón de #Trump. 👊🏻Y que no se nos olvide que ahí también están involucrados los #ClintonCrimeFamily y #Obama, por mencionar algunos. https://t.co/w2qxZuZfT0",5.0,2.0,ClauMor32263091,No DM por favor.,1700.0
"@FloridaMan__ Lemme make sure I get this right ... sooo ... *checks notes* ... the 1st #tRump supporter vandalized the property of the 2nd #tRump supporter,  because the 1st #tRump supporter believed that 2nd #tRump supporter was making #TrumpCovid19 look 'too racist'? 

Did I get it all?? https://t.co/bkH8R737Qa",6.0,0.0,Reddmanx,Caution : Educated Black Male ..|.. {Quotable} “It’s easier to fool people than to convince them they’ve been fooled.” (Mark Twain),209.0
"#BlacksForTrump 
#BlackVoicesForTrump 
#BidenIsARacist 
#BlackFathersMatter 
#BlackVotersMatter 
Vote @GOP down ticket &amp; give #Trump somebody to work with 
#DemocratsAreDestroyingAmerica https://t.co/fiqQfIhJgi",1.0,1.0,RickenRich,"Rickenbacker guitars and basses are the interest... and Military History, Generals, that kind of thing; and musings about Political conspiracies; support BrOTs",604.0
"@ChrisDJackson New respect here for @Scaramucci. 

The vile, hateful ugliness of #Trump’s #LawAndOrder America.",0.0,0.0,FLPublicAffairs,#PublicAffairs #Government #Legislature #Communications #PublicRelations #PR #Graphics #SocialMedia #Content #Marketing #Advertising,358.0
"Who does #trump owe 420 million dollars to? What are the terms? Who is #DonaldTrump beholden to? WE DEMAND TO KNOW!
#TrumpIsANationalSecurityRisk 
#FollowTheMoney 
#TrumpTaxCheat 
#TrumpTaxFraud",1.0,0.0,thereseflanagan,I read; I write; I shoot photos. Chocolate is involved. There is also coffee and ale. #WarrenDem #TheResistance #BlueWave 🌊 #FreePress #BlackLivesMatter,8345.0
"🤚#trump's the biggest Liar evner
#VoteHimOut https://t.co/I5HtocsW3z",0.0,0.0,bentepmail,"i am from Denmark
65 & women.
i love animals ❤️ ❤️❤️❤️ ❤️
got 
4 resqued cats & 3 resqued dogs
i HATE Thrump 🤮🤮🤮🤮🤮",413.0
"#JimJordan, #DevinNunes, #MattGaetz, #JohnCornyn, #BillBarr, #DonaldTrump &amp; the rest who railed about it, should be indicted &amp; go to jail for perpetuating a fraud against the #American people over the perfectly legal ""unmasking"" of General Flynn.
They make me sick!

#LockThemUp! https://t.co/m7XSsW58eh",0.0,0.0,vapermom,"Married, disabled Mom w/2 GREAT sons.
Medical & legal experience.
Fights for the little guy, downtrodden & working class.
❤America, equality & humanity",296.0
😬 The emperor will have no clothes by the end of the rally. 🤢 #Trump https://t.co/gOASwZgdUb,0.0,0.0,LeeSaunders72,Actress | Old soul young at heart | Coffee addict,1069.0
@icecube good for you. @TheDemocrats only care if you toe the line and follow their narrative. They do not care if they help the under served as they claim. #DonaldTrump policies helped black America and they cannot give him any credit. @TheDemocrats policies have never helped! https://t.co/jsPC0HjIXZ,0.0,0.0,berryleonard,"Christian Pro-Life Conservative, BS Electrical Engineering @UCF, Real Estate Investor.",10.0
@DavidJHarrisJr #DemsAreCorrupt #Trump #FourMoreYears https://t.co/uH11Hb1DdH,1.0,0.0,dino0726,Against Stupid; Against anarchy; Against BLM and Antifa; Pro-Life; Christian; Wife; Mother of two; Grandmother (MeMe) of five; Obsessed with politics,1988.0
"#TheWeek: ""#Trump in Penn: ""I saved suburbia. I got rid of a regulation that was a disaster and it was really unfair and it's gotten a lot worse under Obama and Biden. You damn well better vote for me Pennsylvania, you better vote."" But he never did identify the 'regulation.' https://t.co/7CX0PBJ2hA",0.0,0.0,TheLaughMakers,"Attorney, TV comedy writer, author of THE LAUGH MAKERS: A Tribute to Bob Hope's Gag Writers, multi media show ""Bob Hope Backstage.""Instructor at https://t.co/34cEoBAeiw",1855.0
"#TheReidOut 

Am I suppose to feel badly for @OMAROSA? Isn't she the person who once claimed #Trump critics would have to bow at the feet of Donald? Sorry the snakes deserve one another. 

@JoyAnnReid",2.0,0.0,CommonToadnMd,"Lifelong Democrat. Joe Biden for President 2020,
Anti-Trump, proud member of the coastal elite. Truthteller to the nation's #Deplorables.",83.0
#Trump is tearing up #Biden at the #TrumpRally over the #HunterBidenEmails,0.0,1.0,acceptjesusnow,Jesus' #Rapture Prophecy The Last Day. This is the only correct explication of the Rapture ever published. https://t.co/qvS2JBo4l4,2589.0
"#Trump #Obama #Clinton #Biden

#ManWomanPersonCameraTV

#RockPaperScissors

#HandsFaceSpace

#VoteJoeBiden 

#USElection #USElection2020

#Pence vs #Harris

#DrugsTest #TrumpDrugs #BidenDrugs

#InjectDisinfectant #PowerfulLight through the skin or some other way 😳🙆🏽‍♂️🤷🏽‍♂️🤦🏽‍♂️ https://t.co/tBqSpgWoR0",0.0,0.0,roshannnikhil,🌶G20 YEA UK DELEGATE 🌶ACTUARY 🌶 CORPORATE FINANCE 🌶KPMG Veteran 🌶REAL ESTATE 🌶BRAND AMBASSADOR 🌶NED 🌶PENSION TRUSTEE 🌶CHEF 🌶LFC YNWA,841.0
https://t.co/7Wu52qsofx @realDonaldTrump #Election2020 #Trump,0.0,0.0,refragium,I call balls and strikes.,4.0
"#DonaldTrump is a liar.
#TrumpRallyDesMoines https://t.co/me4dqasCWU",0.0,0.0,andThisAndThat,"If you can't feed 100 people then feed just one.      

#SaveTheEarth #ClimateChange #ClimateAction
🇱🇷⚖🗽🌏
#Resist #VoteBlue",5966.0
I have lost track of what #Trump is talking about. So has Trump.,2.0,1.0,snarke,"Will mock for food! Freelance writer, blogger, commentator. Civics nerd. She/Her",1185.0
"@MarcInPhoenix @CIAspygirl #Trump
#TrumpLiesAmericansDie 

80+ researchers warn that a so-called #herdimmunity approach to managing #COVID19 is “a dangerous fallacy unsupported by the scientific evidence” #WCPH2020 

#WearAMask 
#MaskUp 

https://t.co/96TExQws1Z",0.0,0.0,william7424,"Retired International Banker(Don't hold this against me, I cleaned up messes LOL), Avid GeoPolitical and National Political observer",1776.0
"@NegarMortazavi #tRump is according to his niece a metally sick person. How can you ask such a mental case to behave as a feeling person?

#tRump ist the -&gt; Pest Of The United States",0.0,0.0,3_X_Taeglich,Irgendwas mit IT. Antifaschist. #Love #Peace✌️ #NoWar🏳️ #niemalsAfD,128.0
#Trump  SH-T  Show 👇👇👇👇 https://t.co/nE2OifBXmH,0.0,0.0,InconvenientTr5,Spreading the #Truth. #ScienceMatters. #TrumpLiesAmericansDIE.  #VOTE #TrumpCrimeFamily OUT on #ElectionDay,812.0
A simple question. Who are you voting for? #2020Election #DonaldTrump #JoeBiden #uspoli #mapoli,1.0,1.0,jmac4thepeople,"Father, veteran, veteran's advocate, former candidate for MA State Senate, weekly columnist for the Lowell Sun, Fitchburg Sentinel , an American Patriot .",1253.0
"216,000 deaths those people when away magically it was so amazing we dont need to fear #COVID19 just fear the #COVIDIOTS sad so many #fools believe #TrumpIsALaughingStock #TrumpPence2020 #TrumpFakedCovid #Trump #TrumpFailed #DumpTrump #TrumpCrimeFamily #TrumpLiesAmericansDie https://t.co/9uKskvsO27",0.0,0.0,MenroeR,,1.0
"@realDonaldTrump 216,000 deaths those people when away magically it was so amazing we dont need to fear #COVID19 just fear the #COVIDIOTS sad so many #fools believe #TrumpIsALaughingStock #TrumpPence2020 #TrumpFakedCovid #Trump #TrumpFailed #DumpTrump #TrumpCrimeFamily #TrumpLiesAmericansDie https://t.co/ct9ZO3X1sb",0.0,0.0,MenroeR,,1.0
"We don't need no education

WE DON'T NEED NO THOUGHT CONTROL🎶

ALL AND ALL IT'S JUST ANOTHER BRICK IN...🎶

TRUMP'S WALL 🎶🇺🇸

#realDonaldTrump @realDonaldTrump @DonaldJTrumpJr #DonaldTrumpJr #Debates2020 #Debate2020 #DonaldTrump #TrumpPence2020 #FoxNews #CNN #Trump2020Landslide",0.0,1.0,RissmillerKevin,"Author, Public Figure, Actor, Musician, Public Speaker, Comedian, Scientist & more",373.0
"""Suburban women, will you please like me?"" Trump pleaded. ""I saved your damn neighborhood “ #trump openly begging for #votes #donaldtrump #dumptrump #berniesanders #bidenharris2020 #biden2020 #harris2020 #election #RegisterToVote #election2020   https://t.co/YCNA9FlJug",1.0,0.0,ageofhorus,,64.0
@glennkirschner2 So basically the American experiment has failed ; we have no power we are just at the mercy to theses people .. not just Trump but the people who are down for his agenda ; because let’s not pretend #Trump hasn’t done anything that the isn’t on the GOP’s wish list ..,0.0,0.0,NikkiPayge,"Nothin special just ur er’day unapologetic,angry,black,politickin PTSD havin CombatVet chick-don’t want none don’t start none~Play2win #ADOS #BLM #NFAC #WeReady",323.0
"@realDonaldTrump 216,000 deaths those people when away magically it was so amazing we dont need to fear #COVID19 just fear the #COVIDIOTS sad so many #fools believe #TrumpIsALaughingStock #TrumpPence2020 #TrumpFakedCovid #Trump #TrumpFailed #DumpTrump #TrumpCrimeFamily #TrumpLiesAmericansDie https://t.co/JHQ2FvWTrY",0.0,0.0,MenroeR,,1.0
#HipHop legend #IceCube seems to now  be team #DonaldTrump. Thoughts? https://t.co/V4pbCSCCmq,0.0,0.0,LBlogher,Writing and Music are my passion.   Infotainment Blogger. IG:LadeeBlogHer FB:@ladeeblogher,16.0
#hunterbiden trending on all social media and credible news outlets and here’s #cnn showing their  “Coronavirus Crisis” fear mongering bit.. this is why you’re the epitome of fake news #trump2020 #DonaldTrump #coronavirus #CNNFakeNews @realDonaldTrump @DonaldJTrumpJr @DC_Draino,0.0,0.0,CreatureKingdom,Here supporting POTUS45 against the Liberal machine and the MSM worshipping degenerates - Father of triplet boys - Actor @HauntedOverload,122.0
"#tRump is using the DOJ with our tax dollars to retaliate against political opponents and former WH staffers. Vote this sick fuck out! 
#VoteBidenHarris2020",0.0,0.0,sbthro,"Prejudice is a burden that confuses the past, threatens the future and renders the present inaccessible.   Maya Angelou",173.0
#DonaldTrump #TheInfected @POTUS is a doofus who will fall for anything and lie about everything. https://t.co/2wRI16XbbQ,1.0,0.0,DhLadylaw,"🌊🌊🌊Ambassador For Christ,
Proud Mother and Grandmother,
Army Vet, I CO 227th AVN Hanau, Germany 
35K Avionic Mechanic
Disabled Deputy Sheriff. No DMs Please.",3070.0
Remember that time? #covid #covid19 #donaldtrump #trump #trumptrain #trump2020🇺🇸 #MAGA  #america https://t.co/AROsrF7Wp7,0.0,0.0,MSTracewell,"Striving to be a great dad for my daughter and servant to my clients & community through my Company, Rotary & Church.",292.0
"Did Twitter block me for screenshotting the Hunter Biden Story?? If you can see this follow &amp; retweet my Hunter Biden screenshots!!

help this Texas patriot get more followers to get the News to people!

#Trump 
#TrumpTrain
#TrumpPence2020",0.0,0.0,blakeagriffin_,Dad -- Professor -- Conservative Constitutionalist -- Messianic Jew -- Political Writer Honest American News -- #ProLife #ProTrump #ProAmerica #ProLiberty,617.0
#NorthCarolina #ncpol #Trump #CBP #USBP #StoppingTheIllegalFlowOfDrugs #SavingAmericanLives #GreatWorkCBP #ThankYou https://t.co/P0ZUos5PA2,0.0,0.0,SaintsChick889,"Live, Laugh, Love",37.0
Sounds a bit like #Trump  doesn't it https://t.co/YHJCPmtjV4,1.0,3.0,uncle_sam19,iam a  bald eagle its kinda hard to write with my talons,2.0
@newsmax #SleepyJoe is a bad decision #Trump #FourMoreYears https://t.co/6K3sxS1GIm,2.0,1.0,dino0726,Against Stupid; Against anarchy; Against BLM and Antifa; Pro-Life; Christian; Wife; Mother of two; Grandmother (MeMe) of five; Obsessed with politics,1988.0
@PressSec @Twitter Americans value truth 👉🏾stop #trump #propaganda #lies #corruption 👉🏾 #VoteBiden 👉🏾#bankruptbillionaire = @realDonaldTrump 👉🏾 #fraud #TaxCheatTrump #CheaterInChief 👉🏾#NewJersey says #TrumpIsANationalDisgrace #TrumpCrimeFamily,0.0,0.0,CheriMeshevsky,Many years in biopharma. Now focused on academic innovation and creating programs to prepare STEM students for life after college. Opinions are mine.,73.0
"My cousin posted this on Facebook. A message from her Doctor's office. This the BS I be talking about. THE NERVE. 

#Vote #Trump #BidenHarris https://t.co/wfrYPJPdce",0.0,0.0,LNorrisATL,"Founder| EIC | Struggle Doctoral Student 💜💛🐍
@unpopularstyle
@unpopularStyleM unpopularmagazine@gmail.com |
Music only ➡️unpopularstylemusic@gmail.com",2753.0
@thehill ..   It's Common Knowledge™ that this concerns #BabyGate #BunkerBoy- n-bitch #maga #kag  #CaptainContagious #DonaldTrump to no end .. AND realizing the PLOT to destroy the #USPS was a stupid idea  . . . https://t.co/Zo9kPiN2Rx,0.0,0.0,JoR3LofKrypton,"♫ In the howling wind comes a stinging rain
See it driving nails .. Into the souls on the tree of pain..
Running scared in the valley below ♫ 
— U2",569.0
"#Trump collusion w Russia. @GOP let him off. Stripping ACA after #Trump let CV spread, 220K dead Americans. Millions unemployed. Small businesses struggling. No CV plan.  Russia &amp; NK escalating. $430 Million owed? Taxes/financials obstructed. Voter suppression. Give AF abt Hunter https://t.co/BQNKFxwxYS",0.0,0.0,VoteBh2020,"#BidenHarris2020
Rebuilding after being bot reported on voter information
#FBR  #NOMAGAS #EQUALITY #UNITY #COMMUNITY #ONENATION #CRIMINALJUSTICEREFORM",681.0
"#Trump: You don't mind if I go off script, right? This stuff is--you don't want to hear about Hunter and his millions of dollars. Where's Hunter? Is he here? Where's Hunter?

Things have gone...awry.",3.0,1.0,snarke,"Will mock for food! Freelance writer, blogger, commentator. Civics nerd. She/Her",1185.0
Good news are NOT broadcasted by fake news.  It's really sad! Thank you Mr. Trump! #DonaldTrump https://t.co/YLf75cCmqM,0.0,0.0,LaPieta4,"If you want to make the world a better place, take a look at yourself and be that change.",12.0
#Trump #MAGA #vote #election #USA #freedom #KAG #KAG2020 #TRUMP2020 https://t.co/XAAWyBVFZR,0.0,0.0,AMERICANWILDMAN,I would rather die on my feet than live on my knees.,110.0
@JoeBiden #donaldtrump 4 more years!,0.0,0.0,Seifferlein,http://t.co/uScd2xa2,430.0
@Zillalady @maddow @Lawrence @chrislhayes @11thHour @govkristinoem Wonder what time @KristiNoem will be on Fox News talking about how well her state is doing from an office in a different state promoting #trump,4.0,0.0,magicmikeinsd,,239.0
"@WhiteHouse @POTUS 216,000 deaths those people went away magically it was so amazing we dont need to fear #COVID19 just fear the #COVIDIOTS so many #fools believe #TrumpIsALaughingStock #TrumpPence2020 #TrumpFakedCovid #Trump #TrumpFailed #DumpTrump #TrumpCrimeFamily #TrumpLiesAmericansDie @POTUS https://t.co/OiQQOSYzyv",0.0,0.0,MenroeR,,1.0
"“We have heard the Election called at midnight, Master #Trump.” https://t.co/aT5l2m6uDb",0.0,0.0,markburgerenerg,"Solar consultant, 21st Century 100% renewable electricity&energy, enviro justice&equity LEAF #EV user jazz microbrew distilleries RT's not necessarily support.",2923.0
"Hello!!
For your image background removal, retuch or resize it-

Check out our Gig on Fiverr:

https://t.co/AL75SrBXVa

#photoshop #backgroundremoval  #removebackground #Retouching  #DonaldTrump #Lowa #DesMoines #cutout #image #Crocs #Dexter #SHOWTIME #MichaelCHall
@fiverr",0.0,0.0,AinanDesign,We are a team of highly experienced and expert designers. We draw our Bayer mind with 100% satisfaction within a very short time. Quality design is our goal.,4.0
"@WhiteHouse @POTUS 216,000 deaths those people went away magically it was so amazing we dont need to fear #COVID19 just fear the #COVIDIOTS so many #fools believe #TrumpIsALaughingStock #TrumpPence2020 #TrumpFakedCovid #Trump #TrumpFailed #DumpTrump #TrumpCrimeFamily #TrumpLiesAmericansDie @POTUS https://t.co/c8cpWVTVQq",0.0,0.0,MenroeR,,1.0
"@TwitterSafety @Twitter @RecIaimTheNet This is serious interference and censorship in an ongoing democratic election Twitter! What proofs do you have that this is ""Hacked Materials""?
#news #politics #censorship #Election2020 #election #Biden  #Trump https://t.co/cYQmAyVizU",0.0,0.0,Make__More,,14.0
"Do you ever think that #Giuliani, a man who used to have a respectable reputation...is going to end up in prison? Because he's involved in too many shady enterprises..#Ukraine #Russia #Trump #Corruption #GOP #Republicans #MAGA #forged #HunterBiden @NYPost 
https://t.co/QQYyHgdTJj https://t.co/MY5HOog4Ti",0.0,0.0,ZenithUpwards,A human being on fire for justice and love in this crazy world.,335.0
